id,title,budget,revenue,runtime,release_date,vote_average,vote_count,popularity,overview,genres,production_companies,original_language,status
38700,Bad Boys for Life,90000000,426505244,124,2020-01-15,7.127,8553,8.0244,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",Thriller|Action|Crime,Columbia Pictures|2.0 Entertainment|Don Simpson/Jerry Bruckheimer Films|Overbrook Entertainment,en,Released
577922,Tenet,205000000,365304105,150,2020-08-22,7.2,10634,6.2013,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Action|Thriller|Science Fiction,Warner Bros. Pictures|Syncopy,en,Released
454626,Sonic the Hedgehog,85000000,319715683,99,2020-02-12,7.3,10152,8.9367,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.",Action|Science Fiction|Comedy|Family,Original Film|Blur Studio|Marza Animation Planet|Paramount Pictures|SEGA|SEGA of America,en,Released
448119,Dolittle,175000000,251410631,101,2020-01-02,6.59,3770,7.816,"After losing his wife seven years earlier, the eccentric Dr. John Dolittle, famed doctor and veterinarian of Queen Victoria’s England, hermits himself away behind the high walls of Dolittle Manor with only his menagerie of exotic animals for company. But when the young queen falls gravely ill, a reluctant Dolittle is forced to set sail on an epic adventure to a mythical island in search of a cure, regaining his wit and courage as he crosses old adversaries and discovers wondrous creatures.",Family|Comedy|Fantasy|Adventure,Universal Pictures|Team Downey|Perfect World Pictures|Roth-Kirschenbaum Films,en,Released
529203,The Croods: A New Age,65000000,215905815,95,2020-11-25,7.5,4016,6.9227,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",Animation|Family|Adventure|Fantasy|Comedy,DreamWorks Animation,en,Released
495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),75000000,205537933,109,2020-02-05,6.891,10593,5.0213,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",Action|Crime,Warner Bros. Pictures|DC Films|LuckyChap Entertainment|Clubhouse Pictures|Kroll & Co Entertainment,en,Released
464052,Wonder Woman 1984,200000000,169601036,151,2020-12-16,6.387,8844,7.1667,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,Action|Adventure|Fantasy,Warner Bros. Pictures|The Stone Quarry|DC Films|Atlas Entertainment,en,Released
570670,The Invisible Man,7000000,144492724,124,2020-02-26,7.102,6065,3.2233,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",Thriller|Science Fiction|Horror,Blumhouse Productions|Goalpost Pictures|Nervous Tick Productions,en,Released
508439,Onward,200000000,141888276,102,2020-02-29,7.652,6411,3.577,"In a suburban fantasy world, two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there.",Family|Comedy|Adventure|Animation|Fantasy,Walt Disney Pictures|Pixar,en,Released
508442,Soul,150000000,121977511,101,2020-12-25,8.104,11038,7.9485,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",Animation|Family|Comedy|Fantasy|Drama,Pixar,en,Released
522627,The Gentlemen,22000000,115171795,113,2020-01-01,7.668,6295,6.1676,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Comedy|Crime,Miramax|Toff Guy Films|Coach Films|STXfilms,en,Released
481848,The Call of the Wild,109000000,111200000,100,2020-02-19,7.5,3870,6.6019,"Buck is a big-hearted dog whose blissful domestic life is turned upside down when he is suddenly uprooted from his California home and transplanted to the exotic wilds of the Yukon during the Gold Rush of the 1890s. As the newest rookie on a mail delivery dog sled team—and later its leader—Buck experiences the adventure of a lifetime, ultimately finding his true place in the world and becoming his own master.",Adventure|Family|Drama,3 Arts Entertainment|20th Century Studios|TSG Entertainment,en,Released
